"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9731037869072","98.0125082381901","98.051912689473","98.0913171407559","98.1307215920388","98.1701260433217","98.2095304946046","98.2489349458875","98.2883393971704","98.3277438484533","98.3671482997362","98.4065527510191","98.445957202302","98.4853616535849","98.5247661048679","98.5641705561508","98.6035750074337","98.6429794587166","98.6823839099995","98.7217883612824","98.7611928125653","98.8005972638482","98.8400017151311","",
"Africa Eastern and Southern","AFE","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4083639741221","22.7600721514339","23.1271302914129","23.4969742114696","23.8644521646891","24.363308363708","24.8601409383834","25.3360406978333","25.8662908538853","26.4073280284889","26.9478181008337","27.0901814599005","27.6214042806258","28.1609254453418","28.7215729072425","29.3058471149828","29.8437908252258","30.382473657783","30.7304359482259","31.1584084701986","31.5484495720287","31.5015675793188","31.7463327177273","",
"Afghanistan","AFG","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9709193555198","20.9823486569015","22.5413387666176","24.1003328260197","25.6662399387279","27.2391887360031","28.8122662344939","30.4665336124326","32.128704614959","33.7989577403427","35.4774709901664","37.16457222165","38.8603050336229","40.564852379778","42.2784026530125","44.0013086436901","45.7336021554717","47.4776157981306","49.2341444226923","51.0034810931108","52.6490009350063","54.298589737252","55.9519412878114","",
"Africa Western and Central","AFW","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.8008366534005","22.0408964255635","22.6489185132964","23.2834477862309","23.9444399422805","24.629374860245","25.3347868813881","26.0548164790482","26.7884432494905","27.5379420928085","28.3049411619255","29.0876760740795","29.8861224414733","30.7000769425415","31.5286149498323","32.3677062906022","33.2170561311946","34.0811356573181","34.8459738581343","35.7331191654405","36.6339503623385","37.5318765236082","38.6474318919298","",
"Angola","AGO","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5575243295056","28.9892228999424","30.4224688661868","31.8560605984651","33.2903908906274","34.7226378362301","35.9912829408025","37.2593050122209","38.5275103563643","39.7942707753161","41.0607923213848","42.3266654473422","43.5914724861148","44.8547922195447","46.1170299677134","47.3744826098829","48.6279413330122","49.8769829625562","51.120743995819","51.3936226824603","51.6603294206642","51.9216843631804","52.1772757616933","",
"Albania","ALB","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.4886714004041","90.0309542893634","90.605514785525","91.1654586707594","91.7106511759046","92.3229745372511","92.9214092333686","93.5057456524919","94.0758130632297","94.6311525971364","95.1721612127179","95.6984954437804","96.2102708087274","96.7065621641798","97.1880221308194","97.6549638832306","98.1079030060422","98.5472976713805","98.9736460270302","99.1830688799465","99.2987931149029","99.2990334369956","99.2992661348186","",
"Andorra","AND","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999994632633","100","100","100","100","99.9999978782282","100","100","100","100","99.9999980744897","100","99.9999980016794","100","100","100","99.99999600335","100","99.9999955655473","99.9999967920626","99.9999985271439","100","100","",
"Arab World","ARB","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.5475353629849","73.8300659998924","74.1832386310439","74.5863918776369","74.9801545301809","75.5804409481684","76.2501908561931","76.9056356282303","77.5792944105043","78.2297241842397","78.8640822092074","79.4941341709494","80.0645039307874","80.6243874407629","81.1664868207624","81.6894040935859","82.2058914519262","82.5747979953499","82.9303802734484","83.2299462937998","83.5522310041718","88.7440576803218","88.7872730179955","",
"United Arab Emirates","ARE","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1608562687894","99.1568692677947","99.1529465456158","99.1490935685075","99.1452966979577","99.1415743809472","99.1379009655466","99.1343253791665","99.1308648663804","99.1274836760385","99.1241989402121","99.1210028225172","99.1178971015922","99.1148786579815","99.1119372568117","99.1090909356026","99.1063249754935","99.1036265354929","99.1010226864548","99.0984800860555","99.0960140949249","99.0936255379982","99.0913054641249","",
"Argentina","ARG","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.6669269654323","88.1359392097076","88.6033940308795","89.0695626056267","89.535067661347","89.9997328171333","90.463786071511","90.9270366712693","91.389714779665","91.851632903701","92.3128297975777","92.7707536939526","93.2268007089789","93.6231264544083","94.0211238749445","94.4204081447428","94.8209556611028","","","","","","","",
"Armenia","ARM","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.9598960322857","87.3260136492701","87.7125537666032","88.1073225541723","88.5026889720846","88.89849800909","89.2950645345258","89.6920691439885","90.0898320713121","90.4880281882905","90.886816268627","91.2862018286615","91.6861698103562","92.0907742307547","92.5000968345708","92.9144017017963","93.2465397820957","93.4677255905202","93.693256899836","93.8578716530954","93.9367387745435","93.9562455310178","93.9797141565547","",
"American Samoa","ASM","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.6022126416572","64.5940020646939","64.5857914877307","64.5775809107675","64.5693703338042","64.561159756841","64.5529491798777","64.5447386029145","64.5365280259512","63.3846165917388","62.2329962063021","61.0816668696417","59.9306285817578","58.7798813426497","57.6294251523178","56.4792600107625","55.3293859179829","54.17980287398","54.1729020165096","54.1660011590391","54.1591003015687","54.1521994440983","54.1452985866279","",
"Antigua and Barbuda","ATG","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.3382623808046","97.3536211069896","97.3677830429391","97.3724715198517","97.377133715389","97.3817635895337","97.3863992440452","97.3904780793345","97.3939999567314","97.3970184718327","97.3994801016802","97.401415922773","97.4028176183176","97.403718511033","",
"Australia","AUS","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9907556704031","99.9912540263272","99.9917523822512","99.9922507381752","99.9927490940993","99.9932474500233","99.9937458059473","99.9942441618714","99.9947425177954","99.9952408737194","99.9957392296434","99.9962375855675","99.9967359414915","99.9972342974155","99.9977326533395","99.9982310092636","99.9987293651876","99.9992277211116","99.9997260770357","100","100","100","100","",
"Austria","AUT","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999792345039","99.999991799194","99.9999980392323","99.9983754167631","99.996530510081","99.9947044560317","99.9928973265328","99.9911019826259","99.9893267550083","99.9875724384066","99.9858342390638","99.984111541528","99.9823078846103","99.9804526499749","99.9785880353987","99.9767047978383","99.9748142109487","99.9729106791419","99.9728142657606","99.9727098850505","99.9726057573629","99.972489808581","99.9723671174221","",
"Azerbaijan","AZE","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.2763448871113","64.1750752555107","66.0659783026576","67.9494292873128","69.8252236827963","72.2781232201484","74.745714824542","77.2281562629166","79.7252646549165","82.2372192824179","84.7653165005318","87.3090251165639","89.867944807487","92.4416985929619","94.3420184990273","96.1196172823596","96.1218120431691","96.1241166203386","96.1265212557796","96.1290294533043","","","","",
"Burundi","BDI","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2147429343412","45.4235595145127","45.634367840651","45.8472924386413","45.8686367474088","45.8870569615053","45.9023891144522","45.91453002842","45.9232637088484","45.9285444534239","45.930071391903","45.9277113706051","45.9213248562526","45.9106159973544","45.8955074527913","45.8757132011188","45.8510198644704","45.8212039832592","45.7860370850932","45.7452763887701","45.7275099507196","45.7093313882006","45.6906846411766","",
"Belgium","BEL","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4846315051825","99.4847977084529","99.4849659216201","99.4851239607149","99.4852943650297","99.4854568629514","99.4856157010905","99.4857778155169","99.485938234534","99.4861037837084","99.4861223783122","99.4861282307438","99.4861402795475","99.4861457738456","99.4861569997112","99.486162707096","99.4861780441758","99.4861797235591","99.4861886398911","99.4861988308489","99.4861978032885","99.4862111207858","99.4862170542849","",
"Benin","BEN","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.60566700510411","9.00424752605042","9.42522879725803","9.87676965998667","10.3400677635835","10.814694218731","11.3007400084745","11.7983015321379","12.3071178648893","12.8267358396861","13.3574318576564","13.8991204082012","14.4517136045026","15.0147440721455","15.5894570732653","16.17540036159","16.7724928532971","17.3806539321045","17.9998030901084","18.6298545928192","19.2707223290055","19.3816144059671","19.4935017104267","",
"Burkina Faso","BFA","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1878990848946","10.5063052772592","11.3937425930332","12.2686574331796","13.1317299489599","13.9805995453405","14.8159146955023","15.5707854905595","16.2596775904484","16.9336302229932","17.5931679395271","18.2380244727644","18.8675829272628","19.4816080899317","20.0801867081172","20.6627379954545","21.2290233625521","21.7779198987319","22.3095685822615","22.8240692453658","23.3206825506615","24.0411194450571","24.7564935540426","",
