"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7569039092832","37.4810649631085","53.1078249689126","55.5657038623041","","","","","","","","","","","","","69.6376739165201","63.6691526405469","70.5807697920008","73.3202274771466","79.8644181475793","80.7355819675527","75.8887278169195","64.5703814218613","75.6984882494976","83.887494535694","82.3836112949451","","",
"Andorra","AND","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.84568513687825","","","","","","","","","","",
"Argentina","ARG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0284206863703","63.4012140067668","60.080359768226","","",
"American Samoa","ASM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2277270537071","11.9189735168701","14.1455474152493","17.8742112597108","20.1887653741553","21.6803200993857","21.8111080233435","20.8599426944392","16.8775032244926","31.0660703401538","29.5228121217974","27.6933059278882","25.8835396049421","25.0737136225763","22.8610710239339","22.4060502981278","21.439297308383","20.0957188232021","18.1805465955822","23.8686549747471","28.6621010272305","30.0934479304635","39.43866550466","37.5557499617872","41.7128890194693","46.4657885326389","54.6443021310045","53.2642217874726","54.429696919754","60.141986685415","69.2190559498699","69.9077170244066","57.9747482128782","",
"Austria","AUT","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.2128955433926","64.739782238816","65.1858555045077","67.8118732502167","66.79101912401","66.461797580061","74.30583792512","70.4226107810545","66.7566818651461","71.9382577543835","83.3316518773762","85.7862698271937","85.6965073785828","90.6003878073782","87.6965992426296","95.7996292737297","95.0842658810954","94.6946369620698","89.4054088474265","84.2154918852706","83.0969293777453","99.9096979729971","94.5321951541873","","",
"Azerbaijan","AZE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.57653797474662","6.29501240116287","6.38557579182856","","","","","","","","","","22.1899994626478","16.8224266977958","","",
"Burundi","BDI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.7936648764972","103.991579904102","117.630979428415","117.012589933937","128.919219059812","144.097681489928","134.247082847141","151.277211394303","162.561440491875","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.576590944464","127.330165011394","124.101334701475","126.005664754856","115.121171084744","109.647472082346","108.917591351373","108.346201520725","102.199608448661","98.0987970607766","96.7545771933543","89.3755663540236","83.4782314885846","91.3008843889572","95.9430277968126","93.20645439648","95.5707643463826","104.028499314949","101.564361030942","112.309059747048","108.591308652296","110.196200971828","103.883627921154","101.392739455571","103.382510764996","119.241639784917","108.061250958751","","",
"Benin","BEN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.5738610534927","47.0623633767648","73.3851925590032","55.7374234778884","","",
"Bangladesh","BGD","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4618431575804","31.863991518402","31.2044521104432","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.7466305226017","66.4559059688529","61.5724582647108","61.3339831607689","52.8814825755667","47.3999186252732","40.1767206503232","31.137940040717","27.7378918497081","24.1229128424502","17.9676324294207","20.1600090951992","20.5891365271305","19.4817178682192","21.7962168477584","22.0539393235951","32.5016654052337","30.8510800536234","35.5436700576707","32.2350541351225","28.6986532281831","26.9356388445987","32.2596461976759","32.8177085388119","","",
"Bahrain","BHR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.72736418511066","16.3795586794953","21.2998208687864","19.347414718969","17.8800029674213","16.986451622554","15.8131027247135","16.9605823750437","21.1646810889854","23.6915052697933","25.7450148929614","27.1047836328351","28.3796671065326","32.4533576041094","29.3985591955441","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4188250157928","27.9767032232351","30.6304277902863","34.4340232858991","34.8665234734581","33.9982502187227","34.2227763923525","21.7237964992515","20.9517328580084","19.6411443712608","18.7520042790972","","","","","","22.7774542844919","22.9908535609144","25.45550066502","30.908208407968","33.6922817103418","35.306429206242","36.4498330286183","45.1100091385696","47.0183602434669","48.2944426834805","50.7605099227287","53.4551515893418","57.2421682367073","57.6401785782658","83.9728948833394","86.187232517028","83.6820417021454","",
"Bosnia and Herzegovina","BIH","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8346942869169","49.0902635279898","49.6097513913455","53.5008608706996","","52.2381277367734","47.371562985449","44.8932408077693","44.0235719186881","45.4216368447367","47.0207896847199","41.8471396190753","",
"Belarus","BLR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7608695652174","5.18781725888325","75.9557129208116","16.8800606245315","11.5201288580528","12.1714690728675","20.1805426390813","15.103117448937","15.0144518163306","11.440616774975","12.3366860124798","","","6.57022058767027","6.64440183178372","8.9092608163614","10.6566343685377","18.5574619808712","18.905245726907","39.4168108447656","24.4293134230567","23.8372955552391","24.5488085208305","37.5980986022908","38.9240984107258","39.8801799561221","37.0956460104644","33.2442286168097","","","","",
"Belize","BLZ","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2422386417637","21.4098660890758","24.626052776032","26.3698068825761","28.0507552256555","27.5787888596941","29.3636466067726","","","","","","50.5876919387849","66.8659374693156","78.8986244752784","69.9758083085732","67.3661814427559","64.3605989367381","62.2672540359032","65.2025499554082","64.4043258594355","62.8493472104622","61.7043956141552","61.5405181138477","61.4075232145145","","","","","","","","","",
"Bermuda","BMU","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1717241709186","57.4113793922892","47.8828066229933","46.5365054086561","47.0751925934341","56.2575829839375","60.1091977404058","68.3398527645303","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3187804611479","59.3416583014604","59.8494899958247","57.228409380258","58.4572711058609","67.5375540277116","73.4188038096758","83.6692026509366","86.6078841199146","92.5652531882782","98.7098819546545","86.094982204685","80.4135489771561","",
"Barbados","BRB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.7916238643802","62.367186996882","66.8268945870774","71.1649839193355","86.8797344642257","95.7003483442393","100.274209303324","112.681861861569","120.266471812274","129.319653592064","141.159983534009","146.608541046394","","","","","","","",
"Brunei Darussalam","BRN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3463593281007","49.386292649567","47.4833533625875","40.9407963084292","34.4420204367148","28.2639492340235","37.853277255727","31.9367467746927","31.0826268923135","36.0933589086497","40.4803749445844","72.2084540385737","58.1222739026208","70.8373493826887","77.4580226371016","81.722619484527","76.8295072044597","64.28857447128","61.9120647725711","58.1908237667352","56.2118312539319","64.0467185407083","74.2422122045535","98.4448853569081","93.110334600343","88.5026841632725","100.778044131213","95.7786811031396","95.8478211290164","90.3573579099114","111.007897250326","","","",
"Botswana","BWA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3711032492715","12.1168020575228","12.5321505732804","12.4450599461028","12.0423976352474","10.972076070214","11.1567555492122","","","","","","","","","","6.02356808660498","5.9431764131185","8.00402997376666","19.2517818685668","21.8862970525722","21.0743622822987","20.6231807851092","19.0163812887175","18.3257336074772","19.086977673602","15.8049523139869","14.6807691758665","15.2307151442609","16.193904309718","19.6160814562101","","","",
"Central African Republic","CAF","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.3126219756355","78.0386679289258","74.9284095733244","72.4827997563099","66.245831750035","58.7379742383571","57.4583564504362","54.1491194927984","51.2713370557453","46.8009858324025","46.0616514241618","43.2916781929928","39.1585639491399","45.3205112731135","53.1924466726998","53.1497329605545","54.1193858391726","55.7251649377054","53.200869076551","51.4827081297932","55.9915837788793","56.0236243991088","54.4625651849142","53.1515356456582","53.3623246913959","74.5540471041546","71.0739602315819","61.4178635753383","",
"Central Europe and the Baltics","CEB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3253217628628","13.0443645232101","15.2316390716792","18.4445481282332","20.0680258700935","22.4952087771142","22.9044358708838","24.923764904958","27.1341876040475","25.0056548766129","25.7779061612304","24.7027735782155","29.742984484904","28.8028890808021","29.3653695166451","29.3971783222549","25.7683538859672","23.655829446943","23.082653900009","21.7016373939593","20.9935662243333","21.1420070501854","21.3444959349686","20.218157443689","20.611242786827","20.4392949592688","19.3809926558719","20.2844118326667","18.678118566674","18.9542598066682","20.8521076737596","19.98582518083","","",
"Channel Islands","CHI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3723157704948","14.5844761380754","12.7798231847066","12.1152964040195","13.2770070103556","13.1456400045595","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.065442627283","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.6686948009612","48.8665341962956","58.646137344434","48.5973153695346","106.500522736019","106.280979179561","","","84.8102640173471","79.4576584012943","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289.844727083008","113.584666666667","128.444708097928","104.00210747895","169.786611378329","232.936231054902","243.595506269697","152.187001902338","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2269417189103","25.4826844740907","","","","","","","","","","","","","",
"Colombia","COL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.40391549112143","19.0653508704071","17.7090216802298","","","52.535419533379","","","","","65.2450803056946","68.9990033374936","72.4526699261111","62.8601328222053","65.227695883164","67.1029119456429","47.9761695160459","53.2785874737167","66.9071609125064","66.7272478472146","71.6505702481056","72.7038785770822","91.2232105022687","80.3698862682244","70.4887722827593","",
"Comoros","COM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0982111795656","30.1790308643986","40.2051024300097","40.1048029042645","38.5018488682379","39.3351119117989","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.9721623943878","46.8416555910382","","","","","","","","","","","","","","","","",
"Cuba","CUB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.6187458378789","96.3842337020678","95.8339898010768","100.330442275555","91.6683134055663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8409307897154","14.0963768118815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9305896078757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.1353715549511","66.6274703025094","78.2391494592879","75.2615702831118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9601830753133","17.5702324990029","","16.4168038368014","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
